ablation,seed,train_episodes,eval_episodes,window_len,final_f1,rghr_f1,rghr_auc,role_f1_clustering,sof,fof,of,detection_f1,convergence_step,tp,fp,fn,elapsed_sec,rolling_f1_train_mean_last_window
no_grg,47,6000,1500,20,0.5266666666666666,0.02702702702702703,0.9722406613964154,0.5266666666666666,0.8557142530526302,0.9186744017268739,0.887194327389752,0.5619029780857838,4,1500,2339,0,67.34111285209656,0.5733132323181703
no_grg,57,6000,1500,20,0.5266666666666666,0.0,0.9548005551867721,0.5266666666666666,0.8254924943909722,0.9158010946819788,0.8706467945364755,0.5873140172278778,0,1500,2108,0,62.97169637680054,0.5560977015233034
no_grg,67,6000,1500,20,0.5633333333333334,0.027777777777777776,0.9637739098345531,0.5633333333333334,0.8195200370554255,0.9127854701594956,0.8661527536074606,0.572737686139748,2,1500,2238,0,65.305748462677,0.5746968372207413
no_grg,77,6000,1500,20,0.5033333333333333,0.0,0.9607748476253697,0.5033333333333333,0.8531090692216445,0.9181979650736741,0.8856535171476594,0.5970149253731343,0,1500,2025,0,65.66792559623718,0.5912681856612595
no_rrg,7,6000,1500,20,0.5666666666666667,0.0,0.9477400277593386,0.5666666666666667,0.8298451761620598,0.9149844759801579,0.8724148260711089,0.5471457231442641,0,1500,2483,0,65.37464737892151,0.543388495449767
no_rrg,17,6000,1500,20,0.5133333333333333,0.0,0.9263523391812866,0.5133333333333333,0.8525472017552647,0.9192483306168511,0.8858977661860579,0.5560704355885079,5,1500,2395,0,66.85420155525208,0.5613484185781455
no_rrg,27,6000,1500,20,0.5266666666666666,0.0,0.9694809941520468,0.5266666666666666,0.8379725351063063,0.9165758832353799,0.8772742091708431,0.5368647100930566,0,1500,2588,0,65.28694796562195,0.5419644119469895
no_rrg,37,6000,1500,20,0.6333333333333333,0.07894736842105263,0.9697664594774003,0.6333333333333333,0.7928845436913541,0.8996327868689056,0.8462586652801298,0.5474452554744526,0,1500,2480,0,64.8348298072815,0.5659491393141245
no_rrg,47,6000,1500,20,0.52,0.02702702702702703,0.9723010077846841,0.52,0.8562651689650222,0.9174854178629913,0.8868752934140067,0.5619029780857838,4,1500,2339,0,65.49469494819641,0.5733132323181703
no_rrg,57,6000,1500,20,0.53,0.0,0.9548005551867721,0.53,0.8411060057313783,0.9182969195068952,0.8797014626191367,0.5873140172278778,0,1500,2108,0,66.25300407409668,0.5560977015233034
no_rrg,67,6000,1500,20,0.47333333333333333,0.027777777777777776,0.9637739098345531,0.47333333333333333,0.820000661894845,0.91633441302768,0.8681675374612625,0.572737686139748,2,1500,2238,0,65.26189947128296,0.5746968372207413
no_rrg,77,6000,1500,20,0.45,0.0,0.9607748476253697,0.45,0.8486925677646555,0.9150998853781138,0.8818962265713847,0.5970149253731343,0,1500,2025,0,64.53069162368774,0.5912681856612595
no_per,7,6000,1500,20,0.5166666666666667,0.0,0.947860720535876,0.5166666666666667,0.8157443101800663,0.9130584335478644,0.8644013718639654,0.5471457231442641,0,1500,2483,0,60.62355613708496,0.543388495449767
no_per,17,6000,1500,20,0.5666666666666667,0.0,0.9247685185185185,0.5666666666666667,0.8492887128829785,0.9175559635658048,0.8834223382243916,0.5560704355885079,5,1500,2395,0,60.77396869659424,0.5613484185781455
no_per,27,6000,1500,20,0.5233333333333333,0.0,0.9694809941520468,0.5233333333333333,0.83504035185685,0.9183703756664358,0.8767053637616429,0.5368647100930566,0,1500,2588,0,60.00246810913086,0.5419644119469895
no_per,37,6000,1500,20,0.49666666666666665,0.07894736842105263,0.9710337336310422,0.49666666666666665,0.8544842984426207,0.9174500038159831,0.8859671511293019,0.5475451724767293,0,1500,2479,0,62.18840265274048,0.5659491393141245
no_per,47,6000,1500,20,0.48,0.02702702702702703,0.9724217005612215,0.48,0.7937631123114521,0.9130706853854695,0.8534168988484608,0.5621135469364812,4,1500,2337,0,60.36731743812561,0.5733132323181703
no_per,57,6000,1500,20,0.5166666666666667,0.0,0.9540763985275482,0.5166666666666667,0.8495803491307511,0.9183837775751479,0.8839820633529495,0.5874290189935383,0,1500,2107,0,60.07853603363037,0.5560977015233034
no_per,67,6000,1500,20,0.55,0.027777777777777776,0.9637124054369888,0.55,0.8460509966161677,0.9176096295969586,0.8818303131065631,0.572737686139748,2,1500,2238,0,60.611682415008545,0.5746968372207413
no_per,77,6000,1500,20,0.54,0.0,0.9615593506728622,0.54,0.8454850959986527,0.9183819458065892,0.8819335209026209,0.5971337579617835,0,1500,2024,0,65.20532727241516,0.5912681856612595
